Évek;Kód;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Las Palmas;ES008C;377056;377203;381123;381847;383308;381271;382296;383050;382283;379766;378998;377650;378517;379925;381223
Valladolid;ES009C;319943;316564;318461;317864;315522;311682;311501;309714;306830;303905;301876;299715;298866;298412;299265
Palma de Mallorca;ES010C;375048;383107;396570;401270;404681;402044;407648;398162;399093;400578;402949;406492;409661;416065;422587
Santiago de Compostela;ES011C;93458;93712;94339;95092;94824;95397;95671;96041;95800;95612;95966;96456;96405;97260;97848
Vitoria/Gasteiz;ES012C;227568;229484;232477;235661;238247;240753;242223;241386;242082;243918;244634;246976;249176;251774;253996
Oviedo;ES013C;214883;216607;220644;224005;225155;225005;225973;225089;223765;221870;220567;220301;220020;219686;219910
Santander;ES015C;182926;181802;182302;182700;181589;178095;178465;177123;175736;173957;172656;171951;172044;172539;173375
Toledo;ES016C;77601;78618;80810;82291;82489;83872;84019;83593;83334;83226;83459;83741;84282;84873;85811
Badajoz;ES017C;143748;145257;146832;148334;150376;151214;152270;150621;150517;149892;149946;150543;150530;150702;150984
Logroño;ES018C;147036;145866;150071;152107;152650;152698;153402;153066;151962;151344;150876;150979;151113;151136;152485
Córdoba;ES020C;322867;323600;325453;328428;328547;328326;328841;328704;328041;327362;326609;325916;325708;325701;326039
Alicante/Alacant;ES021C;322431;322673;331750;334757;334418;329325;334678;335052;332067;328648;330525;329988;331577;334887;337482
Vigo;ES022C;293255;294772;295703;297332;297124;295623;297355;296479;294997;294098;292817;292986;293642;295364;296692
Gijón;ES023C;274472;274037;275699;277554;277198;276969;277733;275274;275735;274290;273422;272365;271843;271780;271717
A Coruña;ES025C;243320;244388;245164;246056;246047;245053;246146;245923;244810;243870;243978;244099;244850;245711;247604
Roma;IT001C;2547677;2705603;2572486;2576803;2590650;2608530;2614263;2638842;2863322;2872021;2864731;2873494;2872800;2820219;2808293
Torino;IT004C;900608;900569;876282;876940;877359;874320;869312;872091;902137;896773;890529;886837;882523;860793;857910
Palermo;IT005C;670820;666552;665252;662222;659193;659326;656829;654987;678492;678492;674435;673735;668405;652720;647422
Genova;IT006C;620316;615686;592370;592165;590350;587680;584644;582320;596958;592507;586655;583601;580097;569184;565752
Firenze;IT007C;366901;365966;349606;350434;354300;356419;357318;366039;377207;381037;382808;382258;380948;369885;366927
Bari;IT008C;326915;325052;316136;315219;315369;316483;315408;313213;322751;327361;326344;324198;323370;316491;315284
Bologna;IT009C;373743;373026;363636;365844;367451;369653;371151;380635;384202;386181;386663;388367;389261;393248;395416
Catania;IT010C;304144;301564;300252;298104;297652;295817;293104;290678;315576;315601;314555;313396;311620;297752;296266
Venezia;IT011C;269780;268934;261913;262474;262672;262254;260856;259263;264534;264579;263352;261905;261321;259961;258685
Verona;IT012C;259380;260718;257266;257371;255550;253597;251842;253409;259966;260125;258765;257353;257275;258584;259087
Cremona;IT013C;71313;70883;70464;70646;70435;70003;69675;72137;71184;71657;71901;71924;72077;72274;72399
Trento;IT014C;111044;111718;110497;111977;113124;113736;114063;115540;117285;117304;117317;117417;117997;119616;120641
Trieste;IT015C;206058;205363;203885;203556;203328;202878;201814;201148;204849;205413;204420;204234;204338;202351;201613
Perugia;IT016C;161390;161944;157418;159199;160451;161722;162097;162986;166030;165668;166134;166676;165683;164768;164880
Ancona;IT017C;101862;101480;100300;100666;100779;100926;100465;100343;101742;101518;100861;100696;100924;99307;99077
Pescara;IT018C;122457;122402;117456;117781;117871;117631;116846;117091;121325;121366;121014;120420;119217;120463;119862
Campobasso;IT019C;51337;51140;49918;49616;49177;48921;48675;48487;49392;49434;49431;49320;49262;48675;48337
Caserta;IT020C;79432;79228;75761;75568;75401;75531;75625;74868;77099;76887;76326;76126;75561;74757;73984
Taranto;IT021C;197582;196369;201936;201532;201598;200573;199936;198728;203257;202016;201100;199561;198283;192775;191050
Potenza;IT022C;68577;68252;67435;67325;67228;66844;66698;66405;67403;67348;67122;67168;67211;66734;66393
Catanzaro;IT023C;94612;94381;91487;90713;90197;89727;89319;89062;91028;90840;90612;90240;89718;88085;87397
Reggio di Calabria;IT024C;184369;184179;181153;180874;180824;181178;180719;180686;184937;183974;183035;182551;181447;176299;174885
Sassari;IT025C;127893;128611;122981;123225;123290;123729;123624;125672;127715;127625;127525;127533;126769;125998;125273
Cagliari;IT026C;160391;159312;153601;152415;151517;150531;149343;149575;154019;154478;154460;154083;154106;151504;151005
Padova;IT027C;210985;210301;204036;205768;206333;206936;205631;207245;209678;211210;210401;209829;210440;209995;210077
Brescia;IT028C;191059;190044;188184;188638;188152;189576;189085;188520;193599;196058;196480;196670;196745;196134;196340
Modena;IT029C;180469;180080;175913;177163;177814;178828;179095;179353;184525;185148;184973;184727;185273;189016;189013
Foggia;IT030C;153650;153529;150571;149745;148783;147916;147045;148573;153143;152770;151991;151726;151372;150652;149673
